design,policy,p,q,traffic,injection_rate,packets_injected,reception_rate,queueing_latency,network_latency,total_latency,average_hops,lateral_per_injected,escape_per_injected,escape_per_received,delivery_ratio
340_adaptive,adaptive,3,4,bit_reverse,0.150,192279,0.150081,2.016564,9.188263,11.204827,3.026043,0,0.00674541,0.00675155,0.99909
340_adaptive,adaptive,3,4,bit_reverse,0.175,224176,0.174971,2.026991,9.263235,11.290227,3.044588,0,0.0109021,0.0109125,0.99905
340_adaptive,adaptive,3,4,bit_reverse,0.200,256078,0.199871,2.040761,9.337479,11.378240,3.061336,0,0.0155343,0.0155491,0.999051
340_adaptive,adaptive,3,4,bit_reverse,0.225,288187,0.22492,2.060476,9.451399,11.511876,3.086913,0,0.0216942,0.021716,0.998997
340_adaptive,adaptive,3,4,bit_reverse,0.250,320345,0.250007,2.086573,9.586468,11.673040,3.107053,0,0.0274517,0.0274805,0.998951
340_adaptive,adaptive,3,4,bit_reverse,0.275,352106,0.274795,2.121312,9.786605,11.907917,3.123103,0,0.0324221,0.0324561,0.998952
340_adaptive,adaptive,3,4,bit_reverse,0.300,384248,0.29987,2.169149,10.135736,12.304885,3.120943,0,0.0338089,0.0338454,0.99892
340_adaptive,adaptive,3,4,bit_reverse,0.325,416256,0.32483,2.254419,10.583788,12.838206,3.112126,0,0.0328019,0.0328392,0.998864
340_adaptive,adaptive,3,4,bit_reverse,0.350,448318,0.349834,2.467031,11.188332,13.655364,3.099777,0,0.0309446,0.0309812,0.998818
340_adaptive,adaptive,3,4,bit_reverse,0.375,479468,0.374116,8.841804,11.832104,20.673908,3.085721,0,0.0296308,0.0296679,0.998749
340_adaptive,adaptive,3,4,bit_reverse,0.400,505938,0.394727,49.165326,12.466363,61.631689,3.068467,0,0.0281517,0.02819,0.99864
340_adaptive,adaptive,3,4,bit_reverse,0.425,528995,0.412707,96.703577,12.815930,109.519506,3.057132,0,0.0297961,0.0298373,0.99862
